bot,status,function,signature,param_count,is_async,error,error_type
adb_sanctions,NO_FUNC,,,,,No se encontró función principal,
antecedentes_fiscales,OK,consultar_antecedentes_fiscales,"(consulta_id, cedula: str, tipo_doc: str, tipo_persona: str)",4,async,,
bancoproveedores_quien_consulto,NO_FUNC,,,,,No se encontró función principal,
biologia_consulta,OK,consultar_biologia_consulta,"(consulta_id: int, cedula: str)",2,async,,
biologia_validacion_certificados,OK,consultar_biologia_validacion_certificados,"(consulta_id: int, codigo: str)",2,async,,
bis_dpl_legacy_pdf,OK,consultar_bis_dpl_legacy_pdf,"(consulta_id: int, cedula: str)",2,async,,
bot_configs,NO_FUNC,,,,,No se encontró función principal,
bot_configs_contratista,NO_FUNC,,,,,No se encontró función principal,
bots_status_report,NO_FUNC,,,,,No se encontró función principal,
canada_sema_search_png,OK,consultar_canada_sema_search_png,"(consulta_id: int, nombre: str, max_hits: int = 5)",3,async,,
ccap_validate_identity,OK,consultar_ccap_validate_identity,"(consulta_id: int, numero: str)",2,async,,
certificado_sena,NO_FUNC,,,,,No se encontró función principal,
certificado_sena_sofia,NO_FUNC,,,,,No se encontró función principal,
cnb_carnet_afiliacion,OK,consultar_cnb_carnet_afiliacion,"(consulta_id: int, tipo_doc: str, numero: str)",3,async,,
cnb_consulta_matriculados,OK,consultar_cnb_consulta_matriculados,"(consulta_id: int, numero: str)",2,async,,
colelectro_directorio,OK,consultar_colelectro_directorio,"(consulta_id: int, nombre: str, apellido: str)",3,async,,
colpsic_validar_documento,OK,consultar_colpsic_validar_documento,"(consulta_id: int, numero: str, codigo: str)",3,async,,
colpsic_verificacion_tarjetas,OK,consultar_colpsic_verificacion_tarjetas,"(consulta_id: int, numero: str, primer_nombre: str, primer_apellido: str)",4,async,,
compliance,OK,consultar_compliance,"(nombre: str, consulta_id: int, cedula: str)",3,async,,
conalpe_certificado,OK,consultar_conalpe_certificado,"(consulta_id: int, numero: str)",2,async,,
conalpe_consulta_inscritos,OK,consultar_conalpe_consulta_inscritos,"(consulta_id: int, numero: str)",2,async,,
conaltel_consulta_matriculados,OK,consultar_conaltel_consulta_matriculados,"(consulta_id: int, numero: str)",2,async,,
conpucol_certificados,OK,consultar_conpucol_certificados,"(consulta_id: int, numero: str)",2,async,,
conpucol_verificacion_colegiados,OK,consultar_conpucol_verificacion_colegiados,"(consulta_id: int, numero: str)",2,async,,
conte_consulta_matricula,OK,consultar_conte_consulta_matricula,"(consulta_id: int, numero: str)",2,async,,
conte_consulta_vigencia,OK,consultar_conte_consulta_vigencia,"(consulta_id: int, numero: str)",2,async,,
copnia_certificado,OK,consultar_copnia_certificado,"(consulta_id: int, cedula: str, tipo_doc: str)",3,async,,
cp_certificado_busqueda,OK,consultar_cp_certificado_busqueda,"(consulta_id: int, numero: str)",2,async,,
cp_validar_certificado,OK,consultar_cp_validar_certificado,"(consulta_id: int, numero: str)",2,async,,
cp_validar_matricula,OK,consultar_cp_validar_matricula,"(consulta_id: int, numero: str)",2,async,,
cpaa_generar_certificado,OK,consultar_cpaa_generar_certificado,"(consulta_id: int, tipo_doc: str, numero: str)",3,async,,
cpae_certificado,OK,consultar_cpae_certificado,"(consulta_id: int, tipo_doc: str, cedula: str)",3,async,,
cpae_verify_certification,OK,consultar_cpae_verify_certification,"(consulta_id: int, cedula: str)",2,async,,
cpae_verify_licensure,OK,consultar_cpae_verify_licensure,"(consulta_id: int, tipo_doc: str, cedula: str)",3,async,,
cpip_verif_matricula,OK,consultar_cpip_verif_matricula,"(consulta_id: int, numero: str)",2,async,,
cpiq_certificado_vigencia,OK,consultar_cpiq_certificado_vigencia,"(consulta_id: int, numero: str)",2,async,,
cpiq_validacion_certificado_vigencia,OK,consultar_cpiq_validacion_certificado_vigencia,"(consulta_id: int, numero: str)",2,async,,
cpiq_validacion_matricula,OK,consultar_cpiq_validacion_matricula,"(consulta_id: int, numero: str)",2,async,,
cpiq_validacion_tarjeta,OK,consultar_cpiq_validacion_tarjeta,"(consulta_id: int, numero: str)",2,async,,
cpnaa_certificado_vigencia,OK,consultar_cpnaa_certificado_vigencia,"(consulta_id: int, tipo_doc: str, numero: str)",3,async,,
cpnaa_matricula_arquitecto,OK,consultar_cpnaa_matricula_arquitecto,"(consulta_id: int, tipo_doc: str, numero: str)",3,async,,
cpnt_consulta_licencia,OK,consultar_cpnt_consulta_licencia,"(consulta_id: int, numero: str)",2,async,,
cpnt_vigencia_externa_form,OK,consultar_cpnt_vigencia_externa_form,"(consulta_id: int, tipo_doc: str, numero: str)",3,async,,
cpnt_vigenciapdf,OK,consultar_cpnt_vigenciapdf,"(consulta_id: int, numero: str)",2,async,,
cpqcol_antecedentes,OK,consultar_cpqcol_antecedentes,"(consulta_id: int, numero: str)",2,async,,
cpqcol_verificar,OK,consultar_cpqcol_verificar,"(consulta_id: int, numero: str)",2,async,,
csl_search_pdf_falla,NO_FUNC,,,,,No se encontró función principal,
departament_state,OK,consultar_departament_state,"(consulta_id: int, nombre: str)",2,async,,
departament_state_2,NO_FUNC,,,,,No se encontró función principal,
dfat_consolidated_pdf,OK,consultar_dfat_consolidated_pdf,"(consulta_id, nombre, cedula)",3,async,,
dgtresor_gels,OK,consultar_dgtresor_gels,"(consulta_id: int, nombre: str, apellido: str)",3,async,,
ecfr_part744_appendix_pdf,OK,consultar_ecfr_part744_appendix_pdf,"(consulta_id: int, nombre: str)",2,async,,
ecfr_search_pdf,OK,consultar_ecfr_search_pdf,"(consulta_id: int, nombre: str)",2,async,,
eo_13224_findit,OK,consultar_eo_13224_findit,"(consulta_id: int, cedula: str)",2,async,,
eris,OK,consultar_eris,"(consulta_id: int, cedula: str, tipo_doc: str)",3,async,,
eu_travelban_pdf,OK,consultar_eu_travelban_pdf,"(consulta_id: int, nombre_completo: str)",2,async,,
ice_most_wanted_pdf,OK,consultar_ice_most_wanted_pdf,"(consulta_id: int, nombre: str)",2,async,,
icfes,NO_FUNC,,,,,No se encontró función principal,
idb_sanctioned_pdf,NO_FUNC,,,,,No se encontró función principal,
mediacion_policia,NO_FUNC,,,,,No se encontró función principal,
medidas_correctivas,OK,consultar_medidas_correctivas,"(consulta_id: int, cedula: str, tipo_doc: str, tipo_persona: str)",4,async,,
mha_individual_terrorists_pdf,OK,consultar_mha_individual_terrorists_pdf,"(consulta_id: int, nombre: str, cedula)",3,async,,
mincit,NO_FUNC,,,,,No se encontró función principal,
nca_most_wanted_pdf,OK,consultar_nca_most_wanted_pdf,"(consulta_id: int, nombre: str, cedula)",3,async,,
nevis_fsrc_pdf_search,OK,consultar_nevis_fsrc_pdf_search,"(consulta_id: int, cedula, nombre: str, max_hits: int = 7)",4,async,,
ofac_programs_site_search_pdf,OK,consultar_ofac_programs_site_search_pdf,"(consulta_id: int, nombre: str, cedula=None, **_)",4,async,,
ofac_search_pdf,NO_FUNC,,,,,No se encontró función principal,
ofac_treas_gov_pdf,NO_FUNC,,,,,No se encontró función principal,
ofsi_conlist_html,OK,consultar_ofsi_conlist_html,"(consulta_id: int, cedula: str, nombre: str)",3,async,,
ofsi_govuk,OK,consultar_ofsi_govuk,"(consulta_id: int, nombre: str, apellido: str)",3,async,,
ofsi_sanctions_pdf,NO_FUNC,,,,,No se encontró función principal,
opensanctions_au_dfat,OK,consultar_opensanctions_au_dfat,"(consulta_id: int, nombre: str, apellido: str)",3,async,,
opensanctions_us_ddtc,NO_FUNC,,,,,No se encontró función principal,
opensanctions_us_ofac_cons_pdf,OK,consultar_opensanctions_us_ofac_cons_pdf,"(consulta_id: int, nombre: str, cedula)",3,async,,
osfi_search_pdf,OK,consultar_osfi_search_pdf,"(consulta_id: int, nombre: str, cedula: str)",3,async,,
paco_contratista,OK,consultar_paco_contratista,"(consulta_id: int, numero: str)",2,async,,
pdf_search_highlight,NO_FUNC,,,,,No se encontró función principal,
plantilla,NO_FUNC,,,,,No se encontró función principal,
policia_busqueda_general_pdf,NO_FUNC,,,,,No se encontró función principal,
policia_memorial_search_pdf,OK,consultar_policia_memorial_search_pdf,"(consulta_id: int, nombre: str, cedula)",3,async,,
procuraduria_generar_certificado,NO_FUNC,,,,,No se encontró función principal,
